PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,NumberOfDays,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e_Calculated_MT,Postcode,Borough,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
Other,Retro-commissioning,Survey,,,0,John Bowne,142-30 Barclay Ave,DOE,0,11355,QUEENS   ,40.758689,-73.824832,7,20,855,4114657,4050470001,Flushing                                                                   
Lighting System Upgrade,Retrofit,Completed,27-Jun-08,5-May-09,312,H.S. Of Graphic Communication Arts,439 WEST 49TH ST,DOE,235.57,10019,MANHATTAN,40.76337,-73.990593,4,3,127,1026646,1010590015,Clinton                                                                    
Comprehensive,Retrofit,Design,,,0,Staten Island Museum - 75 Stuyvesant Place,75 Stuyvesant Place,DCLA,187.8,10301,STATEN IS,40.644262,-74.077896,1,49,7,5000088,5000090001,West New Brighton-New Brighton-St. George                                  
Lighting System Upgrade,Retrofit,Completed,15-Dec-10,6-May-11,142,Human Resources Administration - 33-28 Northern Blvd,33-28 to 34-08 Northern Blvd,HRA,83.86,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,Elmhurst Hospital Center,"79-01 Broadway  Elmhurst, NY  11373",HHC,"6,459.37",11373,QUEENS   ,40.744416,-73.886097,4,25,267,4437132,4015000002,Elmhurst                                                                   
Energy Audit,None,Completed,14-Feb-11,28-Jun-11,134,Bronx Concourse Plaza,198 East 161st Street,DCAS,314.72,10451,BRONX    ,40.826354,-73.921024,4,16,61,2099027,2024430094,East Concourse-Concourse Village                                           
Lighting System Upgrade,Retrofit,Completed,5-Sep-07,13-Sep-08,374,44th Precinct,2 EAST 169TH ST,NYPD,42.07,10452,BRONX    ,40.837837,-73.91963,4,16,22101,2003017,2024890077,West Concourse                                                             
Lighting System Upgrade,Retrofit,Completed,5-Sep-08,2-Jun-09,270,Brooklyn District 17/18 Garage,"105-02 AVENUE   BROOKLYN DIST 17/18 GAR, 105-09 Avenue D",DSNY,234.06,,,,,,,,,,
Energy Audit,None,Completed,4-Jan-12,14-May-12,131,NYPD 72nd Precinct,830 4th Avenue Brooklyn NY 11232,NYPD,23.76,11232,BROOKLYN ,40.65815,-74.00044,7,38,101,3009843,3006680029,Sunset Park West                                                           
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,147,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,100 MESEROLE AVENUE,NYPD,57.6,11222,BROOKLYN ,40.726993,-73.952982,1,33,561,3065579,3026190003,Greenpoint                                                                 
Comprehensive,Retrofit,Design,,,0,Bronx Housing Court,1118 Grand Concourse,DCAS,0,10456,BRONX    ,40.832232,-73.919655,4,16,18102,2101266,2024620039,East Concourse-Concourse Village                                           
Energy Audit,None,Completed,10-Feb-11,15-May-12,460,A. Philip Randolph Campus High School,443 West 135 Street,DOE,0,10031,MANHATTAN,40.818188,-73.950356,9,9,21703,1059409,1019570078,Manhattanville                                                             
Comprehensive,Retrofit,Design,,,0,P.S.81K Thaddeus Stevens School,990 Dekalb Avenue,DOE,90.78,11221,BROOKLYN ,40.693161,-73.935765,3,36,289,3043248,3016020019,Stuyvesant Heights                                                         
Energy Audit,None,In Progress,,,0,M028- PS 28- Wright Brothers,475 West 155th Street,DOE,0,10032,MANHATTAN,40.831227,-73.942143,12,7,239,1076739,1021070026,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,11-Mar-11,31-Dec-11,295,Ko62 - 700 Cortelyou Road,700 Cortelyou Road,DOE,128.8,11218,BROOKLYN ,40.638686,-73.971651,12,40,490,3126842,3053910001,Kensington-Ocean Parkway                                                   
Energy Audit,None,Completed,7-Apr-11,9-Feb-12,308,PS 81K Thaddeus Stevens School,990 Dekalb Avenue,DOE,79.84,11221,BROOKLYN ,40.693161,-73.935765,3,36,289,3043248,3016020019,Stuyvesant Heights                                                         
HVAC System Upgrade,Retrofit,Install,,,0,Coney Island Hospital Boilers,2601 Ocean Pkwy Brooklyn NY,HHC,"4,022.55",11235,BROOKLYN ,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Other,Retro-commissioning,Survey,,,0,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,0,10472,BRONX    ,40.829232,-73.856734,9,18,4001,2025717,2037900040,Soundview-Bruckner                                                         
Comprehensive,Retrofit,Install,7-Jun-12,,0,100 Gold Street,100 Gold Street,DCAS,"1,327.02",10038,MANHATTAN,40.710353,-74.004007,1,1,1501,1001289,1000940025,Battery Park City-Lower Manhattan                                          
Lighting System Upgrade,Retrofit,Completed,23-Jul-09,23-Dec-09,153,I.S. 61R,445 Castleton Ave.,DOE,0,10301,STATEN IS,40.634009,-74.097826,1,49,67,5002227,5001000100,New Brighton-Silver Lake                                                   
Comprehensive,Retrofit,Design,,,0, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,154.19,11206,BROOKLYN ,40.7025,-73.948869,1,33,509,3061328,3022460001,Williamsburg                                                               
Other,Retro-commissioning,Survey,,,0,Bronx County Court- Bin # 2002869,851 Grand Concourse,DCAS,0,10451,BRONX    ,40.825999,-73.923131,4,8,63,2002869,2024680001,West Concourse                                                             
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,147,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,653 GRAND AVENUE,NYPD,25.83,11238,BROOKLYN ,40.675658,-73.963123,8,35,305,3028914,3011620001,Crown Heights North                                                        
Other,Retro-commissioning,Survey,,,0,M217 - PS 217M Roosevelt School,645 Main Street,DOE,0,10044,MANHATTAN,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
Lighting System Upgrade,Retrofit,Install,,,0,Bx-11 - 800 Zerega Avenue,800-850 Zerega Avenue,DSNY,19.3,10473,BRONX    ,40.824196,-73.842913,9,18,90,2094842,2037020001,Soundview-Castle Hill-Clason Point-Harding Park                            
Lighting System Upgrade,Retrofit,Design,,,0,J.H.S.43M,509 West 129th Street,DOE,152.74,10027,MANHATTAN,40.815256,-73.955325,9,7,219,1059723,1019840033,Manhattanville                                                             
Other,Retro-commissioning,Proposed,,,0,East Harlem Health Care Center,158 East 115th Street,DOHMH,0,10029,MANHATTAN,40.797755,-73.941699,11,8,182,1052229,1016400147,East Harlem North                                                          
HVAC System Upgrade,,Completed,1-Apr-09,1-Jun-09,61,Manhattan Municipal Building,1 Centre Street,DCAS,583.63,10007,MANHATTAN,40.713001,-74.004181,1,1,29,1001394,1001210001,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Completed,23-Apr-08,27-Feb-09,310,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),153-23 83rd Street,DOE,43.31,11414,QUEENS   ,40.665909,-73.851216,10,32,6202,4247454,4114450001,Lindenwood-Howard Beach                                                    
Energy Audit,None,Completed,17-Mar-10,1-Oct-10,198,P.S 174X,456 White Road,DOE,112.08,,,,,,,,,,
HVAC System Upgrade,Retrofit,Substantially Completed,12-Mar-12,30-Jun-12,110,Manhattan Borough Repair Shop,640 West 26th St.,DSNY,714.85,10001,MANHATTAN,40.751183,-74.006594,4,3,99,1012267,1006700050,Hudson Yards-Chelsea-Flatiron-Union Square                                 
